label: gai, predicted: cai, incorrect! 
label: mode, predicted: mode, correct! 
label: beauty, predicted: peasty, incorrect! 
label: salon, predicted: salon, correct! 
label: myprofe, predicted: the, incorrect! 
label: myprofe, predicted: approfe, incorrect! 
label: royse, predicted: roxse, incorrect! 
label: boston, predicted: the, incorrect! 
label: market , predicted: the, incorrect! 
label: patrons, predicted: the, incorrect! 
label: towing, predicted: i, incorrect! 
label: strictly, predicted: the, incorrect! 
label: reserved, predicted: i, incorrect! 
label: enforced , predicted: eliminate, incorrect! 
label: stop, predicted: stop, correct! 
label: aquos, predicted: aquos, correct! 
label: wii, predicted: will, incorrect! 
label: fic, predicted: fic, correct! 
label: life, predicted: life, correct! 
label: citizen, predicted: citizen, correct! 
label: emirates, predicted: emirates, correct! 
label: airline, predicted: any, incorrect! 
label: travel, predicted: travel, correct! 
label: snowbird, predicted: the, incorrect! 
label: fruit, predicted: fruit, correct! 
label: flavored, predicted: flavored, correct! 
label: envelopes, predicted: envelor, incorrect! 
label: flavors, predicted: flavors, correct! 
label: fruit, predicted: fruit, correct! 
label: flavorlopes, predicted: the, incorrect! 
label: curly, predicted: curly, correct! 
label: dick, predicted: dick, correct! 
label: tarana, predicted: tarana, correct! 
label: 13, predicted: 13, correct! 
label: 39, predicted: 39, correct! 
label: oberon, predicted: oberon, correct! 
label: meet, predicted: meet, correct! 
label: ehicken, predicted: chuken, incorrect! 
label: fruit, predicted: fout, incorrect! 
label: sweetcre, predicted: sweetcre, correct! 
label: salad, predicted: salad, correct! 
label: 13, predicted: 13, correct! 
label: sato, predicted: cato, incorrect! 
label: yunker, predicted: yui, incorrect! 
label: boardlife, predicted: bourdlif, incorrect! 
label: skullcandy, predicted: skullcandi, incorrect! 
label: addas, predicted: acdos, incorrect! 
label: boardlife, predicted: the, incorrect! 
label: ece, predicted: the, incorrect! 
label: tunis, predicted: tunis, correct! 
label: 2nd, predicted: 2nd, correct! 
label: prise, predicted: prise, correct! 
label: iz, predicted: oz, incorrect! 
label: stake, predicted: stake, correct! 
label: nivs, predicted: the, incorrect! 
