label: gai, predicted: cai, incorrect! 
label: mode, predicted: mode, correct! 
label: beauty, predicted: seasty, incorrect! 
label: salon, predicted: salon, correct! 
label: myprofe, predicted: propen, incorrect! 
label: myprofe, predicted: urprole, incorrect! 
label: royse, predicted: royse, correct! 
label: boston, predicted: propen, incorrect! 
label: market , predicted: propen, incorrect! 
label: patrons, predicted: re, incorrect! 
label: towing, predicted: lines, incorrect! 
label: strictly, predicted: propen, incorrect! 
label: reserved, predicted: replyto, incorrect! 
label: enforced , predicted: computer, incorrect! 
label: stop, predicted: stop, correct! 
label: aquos, predicted: aquos, correct! 
label: wii, predicted: wif, incorrect! 
label: fic, predicted: fic, correct! 
label: life, predicted: life, correct! 
label: citizen, predicted: citizen, correct! 
label: emirates, predicted: emirates, correct! 
label: airline, predicted: ann, incorrect! 
label: travel, predicted: travel, correct! 
label: snowbird, predicted: propen, incorrect! 
label: fruit, predicted: fruit, correct! 
label: flavored, predicted: flavored, correct! 
label: envelopes, predicted: enveloped, incorrect! 
label: flavors, predicted: flavors, correct! 
label: fruit, predicted: fruit, correct! 
label: flavorlopes, predicted: propen, incorrect! 
label: curly, predicted: curly, correct! 
label: dick, predicted: dick, correct! 
label: tarana, predicted: tarana, correct! 
label: 13, predicted: 13, correct! 
label: 39, predicted: 39, correct! 
label: oberon, predicted: oberon, correct! 
label: meet, predicted: neet, incorrect! 
label: ehicken, predicted: chiken, incorrect! 
label: fruit, predicted: but, incorrect! 
label: sweetcre, predicted: sweetcre, correct! 
label: salad, predicted: salda, incorrect! 
label: 13, predicted: 13, correct! 
label: sato, predicted: cato, incorrect! 
label: yunker, predicted: yuthing, incorrect! 
label: boardlife, predicted: bourdly, incorrect! 
label: skullcandy, predicted: skullcandi, incorrect! 
label: addas, predicted: add, incorrect! 
label: boardlife, predicted: propen, incorrect! 
label: ece, predicted: propen, incorrect! 
label: tunis, predicted: tunis, correct! 
label: 2nd, predicted: 2nd, correct! 
label: prise, predicted: prise, correct! 
label: iz, predicted: iz, correct! 
label: stake, predicted: stake, correct! 
label: nivs, predicted: propen, incorrect! 
label: fird, predicted: filier, incorrect! 
label: ur, predicted: ur, correct! 
label: iz, predicted: iz, correct! 
label: prise, predicted: prise, correct! 
label: 3rd, predicted: 3rd, correct! 
label: schuyler, predicted: schuts, incorrect! 
label: stop, predicted: stop, correct! 
label: war, predicted: inter, incorrect! 
label: feroglobin, predicted: ferograph, incorrect! 
label: stop, predicted: stop, correct! 
label: x, predicted: propen, incorrect! 
label: atm, predicted: propen, incorrect! 
label: for, predicted: for, correct! 
