label: gai, predicted: jai, incorrect! 
label: mode, predicted: modc, incorrect! 
label: beauty, predicted: slauty, incorrect! 
label: salon, predicted: salon, correct! 
label: myprofe, predicted: aten, incorrect! 
label: myprofe, predicted: syprole, incorrect! 
label: royse, predicted: royse, correct! 
label: boston, predicted: aten, incorrect! 
label: market , predicted: aten, incorrect! 
label: patrons, predicted: aten, incorrect! 
label: towing, predicted: saten, incorrect! 
label: strictly, predicted: aten, incorrect! 
label: reserved, predicted: iatin, incorrect! 
label: enforced , predicted: catens, incorrect! 
label: stop, predicted: stop, correct! 
label: aquos, predicted: aquos, correct! 
label: wii, predicted: wii, correct! 
label: fic, predicted: fic, correct! 
label: life, predicted: life, correct! 
label: citizen, predicted: citizen, correct! 
label: emirates, predicted: emirates, correct! 
label: airline, predicted: ana, incorrect! 
label: travel, predicted: travel, correct! 
label: snowbird, predicted: aten, incorrect! 
label: fruit, predicted: fruit, correct! 
label: flavored, predicted: flavored, correct! 
label: envelopes, predicted: envelores, incorrect! 
label: flavors, predicted: flavors, correct! 
label: fruit, predicted: fruil, incorrect! 
label: flavorlopes, predicted: aten, incorrect! 
label: curly, predicted: curly, correct! 
label: dick, predicted: dick, correct! 
label: tarana, predicted: tarana, correct! 
label: 13, predicted: 13, correct! 
label: 39, predicted: 39, correct! 
label: oberon, predicted: oberon, correct! 
label: meet, predicted: meet, correct! 
label: ehicken, predicted: chuken, incorrect! 
label: fruit, predicted: frut, incorrect! 
label: sweetcre, predicted: sweecre, incorrect! 
label: salad, predicted: salad, correct! 
label: 13, predicted: 13, correct! 
label: sato, predicted: cato, incorrect! 
label: yunker, predicted: yuls, incorrect! 
label: boardlife, predicted: boardliye, incorrect! 
label: skullcandy, predicted: skulkanor, incorrect! 
label: addas, predicted: adiee, incorrect! 
label: boardlife, predicted: aten, incorrect! 
label: ece, predicted: aten, incorrect! 
label: tunis, predicted: tunis, correct! 
label: 2nd, predicted: 2nd, correct! 
label: prise, predicted: prise, correct! 
label: iz, predicted: iz7z, incorrect! 
label: stake, predicted: stake, correct! 
label: nivs, predicted: aten, incorrect! 
label: fird, predicted: fils, incorrect! 
label: ur, predicted: ur, correct! 
label: iz, predicted: 17z, incorrect! 
label: prise, predicted: prise, correct! 
label: 3rd, predicted: 3rd, correct! 
label: schuyler, predicted: ouis, incorrect! 
label: stop, predicted: stop, correct! 
label: war, predicted: aten, incorrect! 
label: feroglobin, predicted: ferogooin, incorrect! 
label: stop, predicted: stop, correct! 
label: x, predicted: aten, incorrect! 
label: atm, predicted: aten, incorrect! 
label: for, predicted: fr, incorrect! 
label: rent, predicted: rent, correct! 
label: 594, predicted: 594, correct! 
label: i, predicted: 1, incorrect! 
label: cabbage, predicted: cabbage, correct! 
label: town, predicted: town, correct! 
label: break, predicted: break, correct! 
label: fast, predicted: fast, correct! 
label: lunch, predicted: lunch, correct! 
label: break, predicted: aten, incorrect! 
label: lunch, predicted: aten, incorrect! 
label: cafe, predicted: aten, incorrect! 
label: um, predicted: aten, incorrect! 
label: twentieth, predicted: liwsist, incorrect! 
label: collection, predicted: coteatios, incorrect! 
label: marilyn, predicted: scarilyn, incorrect! 
label: marc, predicted: marc, correct! 
label: tennis, predicted: tinnis, incorrect! 
label: state, predicted: cuntad, incorrect! 
label: sodexho, predicted: sodexho, correct! 
label: tango, predicted: ptango, incorrect! 
label: fujitsu, predicted: aten, incorrect! 
label: sieme, predicted: aten, incorrect! 
label: chakvetadze, predicted: rarutasn, incorrect! 
label: ortis, predicted: davis, incorrect! 
label: clare, predicted: cuare, incorrect! 
label: dragoon, predicted: deagoon, incorrect! 
label: england, predicted: england, correct! 
label: bulova, predicted: bulova, correct! 
label: atch, predicted: atch, correct! 
label: twin, predicted: twa, incorrect! 
label: ve, predicted: ve, correct! 
label: sp, predicted: sp, correct! 
label: i, predicted: l, incorrect! 
label: 13, predicted: 12, incorrect! 
label: 17, predicted: 17, correct! 
label: bridget, predicted: aten, incorrect! 
label: series, predicted: aten, incorrect! 
